Stock_Y,Stock_X,Correlation,Sign
POWERGRID.NS,BHEL.NS,0.9141,positive
HCLTECH.NS,LUPIN.NS,0.914,positive
NATIONALUM.NS,VEDL.NS,0.914,positive
TVSMOTOR.NS,BPCL.NS,0.9138,positive
ICICIGI.NS,SHRIRAMFIN.NS,0.9138,positive
IEX.NS,SHRIRAMFIN.NS,0.9138,positive
GRASIM.NS,PETRONET.NS,0.9136,positive
PIDILITIND.NS,POWERGRID.NS,0.9136,positive
TATASTEEL.NS,SAIL.NS,0.9135,positive
APOLLOHOSP.NS,TVSMOTOR.NS,0.9134,positive
CUMMINSIND.NS,BHEL.NS,0.9134,positive
SUNPHARMA.NS,INDHOTEL.NS,0.9134,positive
NTPC.NS,BOSCHLTD.NS,0.9133,positive
APOLLOHOSP.NS,NAUKRI.NS,0.9132,positive
GRASIM.NS,TRENT.NS,0.9132,positive
JSWSTEEL.NS,VEDL.NS,0.9131,positive
LUPIN.NS,OFSS.NS,0.9131,positive
TATASTEEL.NS,BHEL.NS,0.9127,positive
INDIGO.NS,VEDL.NS,0.9127,positive
SUNPHARMA.NS,POWERGRID.NS,0.9127,positive
HEROMOTOCO.NS,BHEL.NS,0.9126,positive
FEDERALBNK.NS,TORNTPHARM.NS,0.9126,positive
GRASIM.NS,GLENMARK.NS,0.9126,positive
FEDERALBNK.NS,BHARTIARTL.NS,0.9125,positive
ICICIGI.NS,POWERGRID.NS,0.9125,positive
INDHOTEL.NS,M&M.NS,0.9124,positive
LUPIN.NS,M&M.NS,0.9123,positive
HEROMOTOCO.NS,GAIL.NS,0.9122,positive
CUMMINSIND.NS,MOTHERSON.NS,0.912,positive
PAGEIND.NS,DIVISLAB.NS,0.912,positive
OBEROIRLTY.NS,TRENT.NS,0.912,positive
CIPLA.NS,TORNTPHARM.NS,0.9119,positive
ULTRACEMCO.NS,BHARTIARTL.NS,0.9118,positive
GRANULES.NS,LUPIN.NS,0.9118,positive
UBL.NS,GRASIM.NS,0.9117,positive
POWERGRID.NS,ADANIPORTS.NS,0.9114,positive
GRASIM.NS,FEDERALBNK.NS,0.9114,positive
TORNTPHARM.NS,INDIGO.NS,0.9114,positive
ICICIGI.NS,BOSCHLTD.NS,0.9113,positive
TVSMOTOR.NS,INDUSTOWER.NS,0.9113,positive
BOSCHLTD.NS,HINDPETRO.NS,0.9112,positive
LICI.NS,COALINDIA.NS,0.911,positive
LAURUSLABS.NS,DIVISLAB.NS,0.9109,positive
EICHERMOT.NS,INDHOTEL.NS,0.9109,positive
SBIN.NS,INDUSTOWER.NS,0.9109,positive
SUNPHARMA.NS,PERSISTENT.NS,0.9109,positive
ASHOKLEY.NS,M&M.NS,0.9107,positive
CIPLA.NS,HINDPETRO.NS,0.9107,positive
GRASIM.NS,IEX.NS,0.9107,positive
COLPAL.NS,NTPC.NS,0.9105,positive
APOLLOHOSP.NS,TRENT.NS,0.9104,positive
JINDALSTEL.NS,BOSCHLTD.NS,0.9104,positive
MPHASIS.NS,INFY.NS,0.9104,positive
BPCL.NS,CUMMINSIND.NS,0.9103,positive
MUTHOOTFIN.NS,INDHOTEL.NS,0.9102,positive
INDUSTOWER.NS,VEDL.NS,0.91,positive
CIPLA.NS,TVSMOTOR.NS,0.9098,positive
LT.NS,DLF.NS,0.9098,positive
UBL.NS,TVSMOTOR.NS,0.9098,positive
M&M.NS,INDUSTOWER.NS,0.9096,positive
ULTRACEMCO.NS,LUPIN.NS,0.9096,positive
NATIONALUM.NS,TRENT.NS,0.9096,positive
NAUKRI.NS,VOLTAS.NS,0.9096,positive
EICHERMOT.NS,VEDL.NS,0.9094,positive
JINDALSTEL.NS,EXIDEIND.NS,0.9094,positive
JSWSTEEL.NS,MUTHOOTFIN.NS,0.9094,positive
HCLTECH.NS,SUNPHARMA.NS,0.9093,positive
HINDALCO.NS,NTPC.NS,0.9093,positive
INFY.NS,HCLTECH.NS,0.9092,positive
TATAPOWER.NS,HEROMOTOCO.NS,0.9092,positive
BAJAJ-AUTO.NS,TRENT.NS,0.9089,positive
FEDERALBNK.NS,BEL.NS,0.9089,positive
CUMMINSIND.NS,INDUSTOWER.NS,0.9089,positive
POWERGRID.NS,TVSMOTOR.NS,0.9089,positive
GRASIM.NS,VEDL.NS,0.9088,positive
PETRONET.NS,HINDPETRO.NS,0.9088,positive
LICI.NS,PNB.NS,0.9088,positive
SHRIRAMFIN.NS,HINDPETRO.NS,0.9087,positive
AMBUJACEM.NS,GAIL.NS,0.9086,positive
FEDERALBNK.NS,DIVISLAB.NS,0.9086,positive
ICICIGI.NS,BAJAJ-AUTO.NS,0.9085,positive
CIPLA.NS,GAIL.NS,0.9084,positive
NMDC.NS,HINDCOPPER.NS,0.9084,positive
ULTRACEMCO.NS,NAUKRI.NS,0.9084,positive
NTPC.NS,BHEL.NS,0.9083,positive
UBL.NS,EICHERMOT.NS,0.9083,positive
BIOCON.NS,NAUKRI.NS,0.9081,positive
PNB.NS,HINDCOPPER.NS,0.9081,positive
IRCTC.NS,SAIL.NS,0.9079,positive
VEDL.NS,BEL.NS,0.9076,positive
ULTRACEMCO.NS,FEDERALBNK.NS,0.9076,positive
CIPLA.NS,ICICIGI.NS,0.9075,positive
UBL.NS,INDUSTOWER.NS,0.9074,positive
SUNPHARMA.NS,BHARTIARTL.NS,0.9072,positive
EICHERMOT.NS,TVSMOTOR.NS,0.9072,positive
GAIL.NS,INDUSTOWER.NS,0.9072,positive
LICI.NS,GAIL.NS,0.9072,positive
ICICIGI.NS,BPCL.NS,0.9068,positive
ICICIGI.NS,GRANULES.NS,0.9068,positive
PETRONET.NS,LUPIN.NS,0.9068,positive
ULTRACEMCO.NS,EICHERMOT.NS,0.9066,positive
GUJGASLTD.NS,TATAMOTORS.NS,0.9066,positive
PIDILITIND.NS,BAJAJ-AUTO.NS,0.9065,positive
GRASIM.NS,SUNPHARMA.NS,0.9065,positive
ICICIGI.NS,NAUKRI.NS,0.9065,positive
COLPAL.NS,HEROMOTOCO.NS,0.9064,positive
GRASIM.NS,EICHERMOT.NS,0.9064,positive
PETRONET.NS,GRANULES.NS,0.9063,positive
FEDERALBNK.NS,TECHM.NS,0.9062,positive
GRASIM.NS,BOSCHLTD.NS,0.9061,positive
AMBUJACEM.NS,HINDCOPPER.NS,0.9059,positive
FEDERALBNK.NS,SHRIRAMFIN.NS,0.9058,positive
SHRIRAMFIN.NS,M&M.NS,0.9057,positive
GRASIM.NS,HINDALCO.NS,0.9056,positive
TORNTPHARM.NS,GRANULES.NS,0.9055,positive
SUNPHARMA.NS,NATIONALUM.NS,0.9055,positive
ACC.NS,CONCOR.NS,0.9054,positive
TATASTEEL.NS,JINDALSTEL.NS,0.9054,positive
BOSCHLTD.NS,MOTHERSON.NS,0.9052,positive
UBL.NS,TORNTPHARM.NS,0.9052,positive
ULTRACEMCO.NS,SUNPHARMA.NS,0.9051,positive
TVSMOTOR.NS,TRENT.NS,0.9051,positive
PETRONET.NS,VEDL.NS,0.905,positive
LICI.NS,TATAPOWER.NS,0.9049,positive
CIPLA.NS,LUPIN.NS,0.9048,positive
EICHERMOT.NS,SHRIRAMFIN.NS,0.9048,positive
