Entry_Date,Stock_Y,Stock_X,ADF_PValue_Entry,ZScore_Entry,Beta,Intercept,StdErr_Residual,Position,Exit_Date,ADF_PValue_Exit,ZScore_Exit,Entry_Open_Price_X,Exit_Open_Price_X,Entry_Open_Price_Y,Exit_Open_Price_Y,Lot_Size_X,Lot_Size_Y,Trade_PnL,Returns
29-08-2024,BAJAJFINSV.NS,MFSL.NS,0.014666921,2.544884128,0.340577484,1270.995038,51.54246769,short,02-09-2024,0.044450047,3.590472784,1037.9,1114.25,1755.65,1840.55,1,1,-8.55,-0.0031
29-08-2024,BAJAJFINSV.NS,BHARTIARTL.NS,0.017733213,2.65606343,0.021991969,1575.719602,54.7777569,short,30-08-2024,0.026179298,3.098775785,1565.9,1589.05,1755.65,1783.05,1,1,-4.25,-0.0013
29-08-2024,BAJAJFINSV.NS,INDIGO.NS,0.017095617,2.650929399,0.006463071,1579.725682,54.75856691,short,30-08-2024,0.025317144,3.091624434,4759.85,4830,1755.65,1783.05,1,1,42.75,0.0066
26-05-2025,BALKRISIND.NS,ESCORTS.NS,0.001987991,-2.56765193,0.526611044,957.5451961,120.8971072,long,13-06-2025,0.006059756,-0.932394483,3503.3,3130.2,2492,2463.8,1,1,344.9,0.0575
25-03-2025,BALRAMCHIN.NS,TRENT.NS,0.024925003,3.13916819,0.069300317,85.30881815,29.77399039,short,07-04-2025,0.041001849,3.5781489,5185.05,4740.95,538.1,536.1,1,1,-442.1,-0.0772
30-12-2024,BALRAMCHIN.NS,LUPIN.NS,0.04613277,-2.583366418,0.304495725,-81.86634051,40.54007564,long,06-01-2025,0.101879952,-3.060883885,2311.35,2360.3,517.2,505.5,1,1,-60.65,-0.0214
19-03-2025,BALRAMCHIN.NS,TRENT.NS,0.001272351,3.45982698,0.070189804,78.47228651,27.24858629,short,20-03-2025,0.050760578,3.42931034,5230.85,5221.55,539.9,541.05,1,1,-10.45,-0.0018
16-04-2025,BALRAMCHIN.NS,GLENMARK.NS,0.025431979,2.754635923,0.3503813,-3.471776619,33.71567138,short,22-04-2025,0.044271273,3.060185235,1356.8,1390.8,564.8,591.6,1,1,7.2,0.0037
06-01-2025,BANDHANBNK.NS,ZEEL.NS,0.024069972,-2.523641468,0.41490616,131.4648665,12.16724492,long,13-01-2025,0.100080034,-3.203150394,122.56,119.19,151.61,137.67,1,1,-10.57,-0.0386
29-07-2024,BANDHANBNK.NS,INDHOTEL.NS,0.018391865,2.607125559,-0.204903469,315.3433039,14.06250655,short,05-08-2024,0.03319802,0.689159177,649.75,609.2,218.87,202.24,1,1,-23.92,-0.0275
